date,location,tempmax,tempmin,temp,dew,humidity,precip,precipprob,precipcover,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon
2020-12-01,Chennai,30,24.1,27,23,79.6,0,0,0,,35.3,23.9,27.2,1012.5,72.6,5.5,183.3,15.9,7,,2020-12-01 6:15:41,2020-12-01 17:40:15,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2020-12-02,Chennai,28,26,26.8,24.3,86,8,100,4.17,rain,37.1,20.5,17.9,1010.7,93.9,3.6,137.4,11.8,5,,2020-12-02 6:16:14,2020-12-02 17:40:29,0.53,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain
2020-12-03,Chennai,28,25,26.4,25.2,93,72.218,100,25,rain,,18.4,46.2,1009.6,98.5,3.5,77.2,6.6,3,,2020-12-03 6:16:47,2020-12-03 17:40:44,0.55,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
2020-12-04,Chennai,27,24,26,24.9,93.6,60.275,100,20.83,rain,,18.4,53.4,1009.1,97.5,3.1,61.9,5.5,2,,2020-12-04 6:17:19,2020-12-04 17:41:00,0.58,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
2020-12-05,Chennai,28,25,26.2,25.1,93.7,32.548,100,12.5,rain,37.1,14.8,39.3,1009.6,92.7,3.7,93.3,8,3,,2020-12-05 6:17:52,2020-12-05 17:41:16,0.62,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain
2020-12-06,Chennai,31,25.1,27.8,25.4,87.2,24.111,100,16.67,rain,,38.9,69.7,1010.4,71.8,5.1,119.5,10.4,4,,2020-12-06 6:18:26,2020-12-06 17:41:34,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
2020-12-07,Chennai,30,24.8,27.4,25.4,89.5,13.987,100,16.67,rain,,16.6,81.7,1012.5,79.1,4.5,180.1,15.7,7,,2020-12-07 6:18:59,2020-12-07 17:41:53,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
2020-12-08,Chennai,32,25,27.6,25.2,86.9,13.354,100,12.5,rain,,33.1,89.8,1012.2,65.6,5.6,186.4,16.2,7,,2020-12-08 6:19:32,2020-12-08 17:42:13,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
2020-12-09,Chennai,31,22.6,27.2,24.1,84.3,4.823,100,8.33,rain,,22.3,72.4,1012.6,66.3,5.2,218.7,18.9,8,,2020-12-09 6:20:05,2020-12-09 17:42:33,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
2020-12-10,Chennai,31,23.8,26.5,22.2,78.9,0,0,0,,,22.3,67,1012.9,47.3,5.4,215.6,18.6,8,,2020-12-10 6:20:38,2020-12-10 17:42:55,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2020-12-11,Chennai,31,23,26.1,22.1,79.9,0,0,0,,,18.4,36.9,1012.8,45.7,4.4,203.9,17.5,8,,2020-12-11 6:21:11,2020-12-11 17:43:17,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
